iteration,elapsed_s,iter_s,loss,policy_loss,value_loss,games,positions,buffer,selfplay_s,train_s,games_per_s
1,127.8,127.8,7.0674,6.5678,0.4996,96,12540,12540,126.7,1.0,0.758
2,256.7,128.9,4.6696,4.3952,0.2744,96,13758,26298,127.4,1.4,0.753
3,367.0,110.3,3.7533,3.6171,0.1363,96,10311,36609,108.2,2.0,0.887
4,492.6,125.6,3.5742,3.4183,0.156,96,12860,49469,122.7,2.8,0.782
5,611.8,119.2,3.3193,3.2211,0.0982,96,12167,61636,115.7,3.4,0.83
6,722.0,110.2,3.2095,3.1201,0.0895,96,10554,72190,106.1,4.0,0.904
7,838.4,116.4,3.1174,3.0365,0.0809,96,11529,80000,111.9,4.4,0.858
8,953.2,114.8,2.9869,2.908,0.0789,96,11163,80000,110.3,4.4,0.87
9,1070.1,116.9,2.8746,2.7972,0.0774,96,11386,80000,112.4,4.4,0.854
10,1182.1,112.0,2.8477,2.776,0.0718,96,10298,80000,107.5,4.4,0.893
11,1302.8,120.7,2.8662,2.7939,0.0723,96,11479,80000,116.2,4.5,0.826
12,1417.6,114.8,2.8888,2.8034,0.0854,96,10822,80000,110.3,4.4,0.87
13,1535.8,118.2,2.8914,2.7988,0.0925,96,12163,80000,113.8,4.4,0.844
14,1663.3,127.5,2.8693,2.7843,0.085,96,12220,80000,123.0,4.4,0.78
15,1780.9,117.6,2.8446,2.7594,0.0852,96,11579,80000,113.1,4.4,0.849
16,1903.7,122.8,2.8503,2.756,0.0943,96,11892,80000,118.2,4.6,0.812
17,2033.7,130.0,2.8306,2.7317,0.099,96,12073,80000,125.3,4.7,0.766
18,2157.4,123.6,2.8132,2.7192,0.094,96,11192,80000,118.9,4.6,0.807
19,2282.8,125.5,2.8032,2.7124,0.0908,96,11866,80000,121.0,4.4,0.794
20,2410.0,127.1,2.7981,2.7079,0.0903,96,11521,80000,122.4,4.7,0.784
21,2541.5,131.6,2.7762,2.6992,0.077,96,12366,80000,127.0,4.5,0.756
22,2663.6,122.0,2.7817,2.6935,0.0883,96,12205,80000,117.4,4.6,0.818
23,2786.9,123.3,2.7787,2.6853,0.0934,96,11784,80000,118.7,4.6,0.809
24,2907.5,120.7,2.7772,2.681,0.0962,96,11639,80000,116.1,4.5,0.827
25,3034.9,127.4,2.7728,2.6739,0.0989,96,12443,80000,122.9,4.5,0.781
26,3157.5,122.5,2.7695,2.6724,0.0971,96,12559,80000,118.1,4.4,0.813
27,3282.6,125.1,2.7653,2.671,0.0942,96,12819,80000,120.6,4.5,0.796
28,3408.4,125.8,2.749,2.6644,0.0846,96,12623,80000,121.3,4.4,0.792
29,3535.6,127.3,2.7494,2.6547,0.0948,96,12629,80000,122.8,4.4,0.782
30,3657.0,121.4,2.7274,2.646,0.0814,96,12358,80000,117.0,4.4,0.821
31,3776.0,119.0,2.7312,2.6415,0.0897,96,11735,80000,114.6,4.4,0.838
32,3900.3,124.3,2.7309,2.6456,0.0853,96,12638,80000,119.8,4.4,0.801
33,4024.6,124.2,2.7373,2.652,0.0852,96,12946,80000,119.8,4.4,0.802
34,4148.4,123.8,2.7298,2.6471,0.0827,96,12939,80000,119.3,4.4,0.804
35,4268.5,120.2,2.7257,2.6343,0.0914,96,12094,80000,115.7,4.5,0.83
36,4392.0,123.5,2.7225,2.6317,0.0907,96,11891,80000,119.0,4.4,0.806
37,4510.5,118.5,2.7326,2.6379,0.0947,96,11644,80000,114.0,4.4,0.842
38,4632.5,122.0,2.734,2.6396,0.0944,96,11478,80000,117.6,4.4,0.817
39,4758.8,126.2,2.7484,2.6514,0.0971,96,12050,80000,121.8,4.4,0.788
40,4887.8,129.0,2.7593,2.6636,0.0957,96,13143,80000,124.6,4.4,0.771
41,5012.3,124.5,2.7633,2.6626,0.1007,96,13130,80000,120.1,4.4,0.8
42,5132.8,120.5,2.7531,2.6588,0.0943,96,12032,80000,116.0,4.4,0.828
43,5251.0,118.2,2.771,2.66,0.1111,96,11340,80000,113.7,4.4,0.844
44,5372.9,121.9,2.7589,2.657,0.1019,96,12428,80000,117.5,4.4,0.817
45,5491.5,118.6,2.7396,2.6419,0.0978,96,11838,80000,114.1,4.4,0.841
46,5612.6,121.0,2.7484,2.6432,0.1052,96,12654,80000,116.5,4.4,0.824
47,5731.8,119.2,2.7292,2.6304,0.0987,96,11898,80000,114.7,4.4,0.837
48,5854.0,122.2,2.7245,2.6203,0.1042,96,12675,80000,117.8,4.4,0.815
49,5981.6,127.6,2.7159,2.6097,0.1062,96,12765,80000,123.1,4.4,0.78
50,6104.8,123.2,2.6964,2.595,0.1014,96,12535,80000,118.8,4.4,0.808
51,6223.8,119.0,2.6974,2.5897,0.1077,96,11465,80000,114.5,4.4,0.838
